Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Market,"Dec. 06, 2018, 11:38 PM",Main Account,0.03608204 BTC,112.50 EUR,3118.00 EUR,0.29000 EUR,Buy
Market,"Dec. 06, 2018, 11:38 PM",Main Account,0.00396157 BTC,12.35 EUR,3118.00 EUR,0.04000 EUR,Buy
Market,"Dec. 07, 2018, 12:53 AM",Main Account,0.05000000 BTC,148.10 EUR,2962.00 EUR,0.38000 EUR,Buy
Market,"Dec. 07, 2018, 07:12 PM",Main Account,0.05000000 BTC,155.90 EUR,3118.00 EUR,0.39000 EUR,Sell
Market,"Dec. 19, 2018, 02:46 AM",Main Account,0.00995639 BTC,32.69 EUR,3283.00 EUR,0.09000 EUR,Sell
Market,"Dec. 19, 2018, 02:46 AM",Main Account,0.03608204 BTC,118.46 EUR,3283.00 EUR,0.30000 EUR,Sell
Market,"Dec. 19, 2018, 02:46 AM",Main Account,0.00396157 BTC,13.01 EUR,3283.00 EUR,0.04000 EUR,Sell
Market,"Dec. 19, 2018, 01:40 PM",Main Account,0.05000000 BTC,172.80 EUR,3456.00 EUR,0.44000 EUR,Sell
Market,"Dec. 19, 2018, 03:49 PM",Main Account,0.05201977 BTC,170.78 EUR,3283.00 EUR,0.43000 EUR,Buy
Market,"Dec. 20, 2018, 08:20 AM",Main Account,0.05201977 BTC,179.78 EUR,3456.00 EUR,0.45000 EUR,Sell
Market,"Dec. 20, 2018, 04:51 PM",Main Account,0.05000000 BTC,181.90 EUR,3638.00 EUR,0.46000 EUR,Sell
Market,"Dec. 20, 2018, 08:09 PM",Main Account,0.05525784 BTC,190.97 EUR,3456.00 EUR,0.48000 EUR,Buy
Market,"Dec. 21, 2018, 01:53 AM",Main Account,0.00030511 BTC,1.11 EUR,3638.00 EUR,0.01000 EUR,Sell
Market,"Dec. 24, 2018, 12:48 AM",Main Account,0.05495273 BTC,199.92 EUR,3638.00 EUR,0.50000 EUR,Sell
Market,"Dec. 25, 2018, 12:21 AM",Main Account,0.05532996 BTC,191.22 EUR,3456.00 EUR,0.48000 EUR,Buy
Market,"Dec. 25, 2018, 03:51 AM",Main Account,0.05276282 BTC,173.22 EUR,3283.00 EUR,0.44000 EUR,Buy
Market,"Dec. 25, 2018, 08:33 PM",Main Account,0.05276282 BTC,182.35 EUR,3456.00 EUR,0.46000 EUR,Sell
Market,"Dec. 26, 2018, 02:26 PM",Main Account,0.05820481 BTC,191.09 EUR,3283.00 EUR,0.48000 EUR,Buy
Market,"Dec. 28, 2018, 07:06 PM",Main Account,0.05820481 BTC,201.16 EUR,3456.00 EUR,0.51000 EUR,Sell
Market,"Dec. 29, 2018, 11:45 PM",Main Account,0.05973681 BTC,196.12 EUR,3283.00 EUR,0.50000 EUR,Buy
Market,"Jan. 06, 2019, 05:16 PM",Main Account,0.05973681 BTC,206.45 EUR,3456.00 EUR,0.52000 EUR,Sell
Market,"Jan. 10, 2019, 06:48 AM",Main Account,0.05981052 BTC,196.36 EUR,3283.00 EUR,0.50000 EUR,Buy
Market,"Jan. 13, 2019, 04:08 PM",Main Account,0.05266475 BTC,164.21 EUR,3118.00 EUR,0.42000 EUR,Buy
Market,"Jan. 19, 2019, 10:03 AM",Main Account,0.05266475 BTC,172.90 EUR,3283.00 EUR,0.44000 EUR,Sell
Market,"Jan. 20, 2019, 12:14 PM",Main Account,0.05770776 BTC,179.93 EUR,3118.00 EUR,0.45000 EUR,Buy
Market,"Jan. 28, 2019, 03:39 PM",Main Account,0.05321866 BTC,157.63 EUR,2962.00 EUR,0.40000 EUR,Buy
Market,"Jan. 28, 2019, 03:39 PM",Main Account,0.00678134 BTC,20.09 EUR,2962.00 EUR,0.06000 EUR,Buy
Market,"Feb. 08, 2019, 04:47 PM",Main Account,0.05321866 BTC,165.94 EUR,3118.00 EUR,0.42000 EUR,Sell
Market,"Feb. 08, 2019, 04:47 PM",Main Account,0.00678134 BTC,21.14 EUR,3118.00 EUR,0.06000 EUR,Sell
Market,"Feb. 18, 2019, 01:07 AM",Main Account,0.05770776 BTC,189.45 EUR,3283.00 EUR,0.48000 EUR,Sell
Market,"Feb. 18, 2019, 04:34 PM",Main Account,0.00579100 BTC,20.01 EUR,3456.00 EUR,0.06000 EUR,Sell
